id,Nombre,codigo,localidad_id,active
649,EL CHANCO I,006525,9,TRUE
135,GRANADA,008204,2,TRUE
608,MONTEVIDEO,006307,16,TRUE
136,CHAPINERO OCCIDENTAL,007203,13,TRUE
828,LOMBARDIA,009228,11,TRUE
411,CHUNIZA,002537,5,TRUE
444,FATIMA,002408,6,TRUE
44,COUNTRY CLUB,008402,1,TRUE
329,PASQUILLA,104104,19,TRUE
350,SAN FELIPE DE USME RURAL,202404,5,TRUE
250,PRIMERO DE MAYO,001112,4,TRUE
831,SUBA URBANO,009212,11,TRUE
833,BERLIN,009259,11,TRUE
496,SAN PEDRO,004589,7,TRUE
330,OLARTE,102707,19,TRUE
269,TIBAQUE URBANO,001116,4,TRUE
716,CENTRO ENGATIVA II,005667,10,TRUE
834,PRADO VERANIEGO SUR,009117,11,TRUE
1128,NUEVA GRANADA,109116,20,TRUE
1129,SAN JOSE,109111,20,TRUE
935,COLSEGUROS,006109,14,TRUE
651,AEROPUERTO EL DORADO,005624,10,TRUE
45,CANODROMO,009130,11,TRUE
727,EL REAL,005604,10,TRUE
844,LA GAITANA,009216,11,TRUE
593,CASA BLANCA SUR,004576,8,TRUE
959,LIBERTADOR,002305,18,TRUE
1137,LOS RIOS,103108,20,TRUE
594,TIMIZA,004512,8,TRUE
595,PROVIVIENDA,004504,8,TRUE
835,LOS ANDES,005307,12,TRUE
46,SANTA ANA,008408,1,TRUE
653,EL CHANCO II,205401,9,TRUE
1139,LAS PALMAS,103107,20,TRUE
655,VERSALLES FONTIBON,006401,9,TRUE
597,PROVIVIENDA OCCIDENTAL,004505,8,TRUE
656,CIUDAD SALITRE NOR-ORIENTAL,006216,13,TRUE
170,LA ALAMEDA,003101,14,TRUE
137,LAS ACACIAS,008203,2,TRUE
836,GILMAR,009114,11,TRUE
837,SAN PEDRO,009253,11,TRUE
734,LA ESTRADA,005502,10,TRUE
839,LAS FLORES,009210,11,TRUE
842,LISBOA,009254,11,TRUE
720,LA RIVIERA,005670,10,TRUE
721,LOS CEREZOS,005616,11,TRUE
51,ESCUELA DE INFANTERIA,008410,1,TRUE
52,CHICO NORTE III SECTOR,008315,2,TRUE
726,PALO BLANCO,005501,10,TRUE
657,LA CABANA FONTIBON,006402,9,TRUE
658,PUERTA DE TEJA,006404,10,TRUE
53,ESCUELA DE CABALLERIA I,008409,1,TRUE
659,BELEN FONTIBON,006409,9,TRUE
889,ENTRERIOS,005306,12,TRUE
57,LA CAROLINA,008403,1,TRUE
194,LAS CRUCES,003202,4,TRUE
843,EL PLAN,009128,11,TRUE
987,SAN EUSEBIO,004401,16,TRUE
